cell,seed,status,wall_seconds
dense-gaussian,291548,executed,0.10615791694726795
dense-gaussian,291549,executed,0.11278062500059605
dense-gaussian,291550,executed,0.11958137498004362
short-segment-gaussian,301501,executed,0.05125950003275648
short-segment-gaussian,301502,executed,0.06287129200063646
short-segment-gaussian,301503,executed,0.047316832991782576
short-segment-gaussian,301504,executed,0.04821174999233335
short-segment-gaussian,301505,executed,0.04801024997141212
short-segment-gaussian,301506,executed,0.04860270896460861
short-segment-gaussian,301507,executed,0.047821000043768436
short-segment-gaussian,301508,executed,0.04859187500551343
short-segment-gaussian,301509,executed,0.049148916034027934
short-segment-gaussian,301510,executed,0.05723754200153053
short-segment-gaussian,301511,executed,0.055243541952222586
short-segment-gaussian,301512,executed,0.0548068750067614
short-segment-gaussian,301513,executed,0.056370792037341744
short-segment-gaussian,301514,executed,0.04796237498521805
short-segment-gaussian,301515,executed,0.053328540991060436
short-segment-gaussian,301516,executed,0.05143849999876693
short-segment-gaussian,301517,executed,0.05370595899876207
short-segment-gaussian,301518,executed,0.05243862501811236
short-segment-gaussian,301519,executed,0.04724129202077165
short-segment-gaussian,301520,executed,0.04785279097268358
short-segment-gaussian,301521,executed,0.05013312504161149
short-segment-gaussian,301522,executed,0.050079334003385156
short-segment-gaussian,301523,executed,0.05481816700194031
short-segment-gaussian,301524,executed,0.05624645797070116
short-segment-gaussian,301525,executed,0.05427695799153298
short-segment-gaussian,301526,executed,0.04774837498553097
short-segment-gaussian,301527,executed,0.04956620797747746
short-segment-gaussian,301528,executed,0.05591904203174636
short-segment-gaussian,301529,executed,0.053570875024888664
short-segment-gaussian,301530,executed,0.04789175000041723
short-segment-gaussian,301531,executed,0.047321708989329636
short-segment-gaussian,301532,executed,0.049820917018223554
short-segment-gaussian,301533,executed,0.05556066596182063
short-segment-gaussian,301534,executed,0.05200883297948167
short-segment-gaussian,301535,executed,0.051873625023290515
short-segment-gaussian,301536,executed,0.047000791993923485
short-segment-gaussian,301537,executed,0.04842541698599234
short-segment-gaussian,301538,executed,0.04775899997912347
short-segment-gaussian,301539,executed,0.05157599999802187
short-segment-gaussian,301540,executed,0.05230354197556153
short-segment-gaussian,301541,executed,0.052158541046082973
short-segment-gaussian,301542,executed,0.050257000024430454
short-segment-gaussian,301543,executed,0.05128666601376608
short-segment-gaussian,301544,executed,0.05027395801153034
short-segment-gaussian,301545,executed,0.05039712501456961
short-segment-gaussian,301546,executed,0.05081279098521918
short-segment-gaussian,301547,executed,0.04864341695792973
short-segment-gaussian,301548,executed,0.049860832979902625
short-segment-gaussian,301549,executed,0.049515207996591926
short-segment-gaussian,301550,executed,0.05093874997692183
prior-conflict-gaussian,311501,executed,0.09348987496923655
prior-conflict-gaussian,311502,executed,0.09250345802865922
prior-conflict-gaussian,311503,executed,0.09258491598302498
prior-conflict-gaussian,311504,executed,0.09230083302827552
prior-conflict-gaussian,311505,executed,0.09194025001488626
prior-conflict-gaussian,311506,executed,0.09131591598270461
prior-conflict-gaussian,311507,executed,0.08623358304612339
prior-conflict-gaussian,311508,executed,0.08921295800246298
prior-conflict-gaussian,311509,executed,0.09403004101477563
prior-conflict-gaussian,311510,executed,0.09310579096199945
prior-conflict-gaussian,311511,executed,0.09188454202376306
prior-conflict-gaussian,311512,executed,0.09184558398555964
prior-conflict-gaussian,311513,executed,0.09322829195298254
prior-conflict-gaussian,311514,executed,0.09345766599290073
prior-conflict-gaussian,311515,executed,0.09396175004076213
prior-conflict-gaussian,311516,executed,0.09450745797948912
