cell,seed,data_hash,truth_hash,effective_config_hash
prior-conflict-gaussian,311514,True,True,True
prior-conflict-gaussian,311515,True,True,True
prior-conflict-gaussian,311516,True,True,True
prior-conflict-gaussian,311517,True,True,True
prior-conflict-gaussian,311518,True,True,True
prior-conflict-gaussian,311519,True,True,True
prior-conflict-gaussian,311520,True,True,True
prior-conflict-gaussian,311521,True,True,True
prior-conflict-gaussian,311522,True,True,True
prior-conflict-gaussian,311523,True,True,True
prior-conflict-gaussian,311524,True,True,True
prior-conflict-gaussian,311525,True,True,True
prior-conflict-gaussian,311526,True,True,True
prior-conflict-gaussian,311527,True,True,True
prior-conflict-gaussian,311528,True,True,True
prior-conflict-gaussian,311529,True,True,True
prior-conflict-gaussian,311530,True,True,True
prior-conflict-gaussian,311531,True,True,True
prior-conflict-gaussian,311532,True,True,True
prior-conflict-gaussian,311533,True,True,True
prior-conflict-gaussian,311534,True,True,True
prior-conflict-gaussian,311535,True,True,True
prior-conflict-gaussian,311536,True,True,True
prior-conflict-gaussian,311537,True,True,True
prior-conflict-gaussian,311538,True,True,True
prior-conflict-gaussian,311539,True,True,True
prior-conflict-gaussian,311540,True,True,True
prior-conflict-gaussian,311541,True,True,True
prior-conflict-gaussian,311542,True,True,True
prior-conflict-gaussian,311543,True,True,True
prior-conflict-gaussian,311544,True,True,True
prior-conflict-gaussian,311545,True,True,True
prior-conflict-gaussian,311546,True,True,True
prior-conflict-gaussian,311547,True,True,True
prior-conflict-gaussian,311548,True,True,True
prior-conflict-gaussian,311549,True,True,True
prior-conflict-gaussian,311550,True,True,True
shared-boundary-heterogeneity,321501,True,True,True
shared-boundary-heterogeneity,321502,True,True,True
shared-boundary-heterogeneity,321503,True,True,True
shared-boundary-heterogeneity,321504,True,True,True
shared-boundary-heterogeneity,321505,True,True,True
shared-boundary-heterogeneity,321506,True,True,True
shared-boundary-heterogeneity,321507,True,True,True
shared-boundary-heterogeneity,321508,True,True,True
shared-boundary-heterogeneity,321509,True,True,True
shared-boundary-heterogeneity,321510,True,True,True
shared-boundary-heterogeneity,321511,True,True,True
shared-boundary-heterogeneity,321512,True,True,True
shared-boundary-heterogeneity,321513,True,True,True
shared-boundary-heterogeneity,321514,True,True,True
shared-boundary-heterogeneity,321515,True,True,True
shared-boundary-heterogeneity,321516,True,True,True
shared-boundary-heterogeneity,321517,True,True,True
