seed,method,status,wall_seconds,fit_wall_seconds,max_block_error,empirical_tv,truth_f1,map_jaccard
331521,quadrature-40,executed,0.07217966602183878,,4.2179595645866215,0.02552986146859032,0.6666666666666666,1.0
331521,laplace,executed,0.028172291989903897,,7.450719148098408,0.03216814437104712,0.6666666666666666,1.0
331521,ep,timed-out,20.990522834006697,20.00715191703057,,,,
331522,quadrature-40,executed,0.07448962499620393,,3.411889938824814,0.010002538416937184,0.5,1.0
331522,laplace,executed,0.02978683396941051,,4.43521087073524,0.020275517900215922,0.5,1.0
331522,ep,timed-out,20.960293042007834,20.006166249979287,,,,
331523,quadrature-40,executed,0.07150508399354294,,4.027387038980592,0.02159469611356593,1.0,1.0
331523,laplace,executed,0.029659958032425493,,6.920496268683628,0.03783424498259866,1.0,1.0
331523,ep,timed-out,20.924880833015777,20.0062073750305,,,,
331524,quadrature-40,executed,0.07158483297098428,,4.217959564586636,0.019324116607960046,0.6666666666666666,1.0
331524,laplace,executed,0.028661707998253405,,7.450719148098393,0.032841201091495575,0.6666666666666666,1.0
331524,ep,timed-out,20.92153741704533,20.00470295897685,,,,
331525,quadrature-40,executed,0.07127258402761072,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331525,laplace,executed,0.028574583993759006,,7.4507191480984005,0.037056133565134,1.0,1.0
331525,ep,timed-out,20.90571733296383,20.00574020802742,,,,
331526,quadrature-40,executed,0.0721942080417648,,4.217959564586636,0.028072033795497636,1.0,0.5
331526,laplace,executed,0.028267625020816922,,7.450719148098393,0.03580570191578586,1.0,0.5
331526,ep,timed-out,21.066081375000067,20.004716792027466,,,,
331527,quadrature-40,executed,0.07168500003172085,,4.2179595645866215,0.05428541311044663,0.5,0.3333333333333333
331527,laplace,executed,0.0278750829747878,,7.450719148098393,0.01004603929894239,0.6666666666666666,0.5
331527,ep,timed-out,20.716001499968115,20.00755537499208,,,,
331528,quadrature-40,executed,0.07367354101734236,,1.9603763087450332,0.040723392546780576,0.6666666666666666,1.0
331528,laplace,executed,0.028827665955759585,,0.3632891616608944,0.040986172614824776,0.6666666666666666,0.3333333333333333
331528,ep,timed-out,20.9519651249866,20.004122791986447,,,,
331529,quadrature-40,executed,0.07241412502480671,,4.027387038980592,0.0008336882799253459,1.0,1.0
331529,laplace,executed,0.0287834579939954,,6.920496268683628,0.036865584011291516,1.0,1.0
331529,ep,timed-out,20.930256791994907,20.004790667037014,,,,
331530,quadrature-40,executed,0.07202312501613051,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331530,laplace,executed,0.029456584015861154,,7.4507191480984005,0.037056133565134,1.0,1.0
331530,ep,timed-out,20.93142162496224,20.00435495900456,,,,
331531,quadrature-40,executed,0.0713548330240883,,3.6266393097304572,0.0056678508714549675,1.0,1.0
331531,laplace,executed,0.029084583977237344,,5.230392489959115,0.011096082675020111,1.0,1.0
331531,ep,timed-out,20.910960874985904,20.004367624991573,,,,
331532,quadrature-40,executed,0.0731242920155637,,2.690939893280145,0.018644122017997256,1.0,1.0
331532,laplace,executed,0.028449082979932427,,2.002017532475513,0.006915625111672969,1.0,1.0
